-14700,14700,
14700,14700,
np.NaN,np.NaN,
14700,-14700,
14700,14700,
np.NaN,np.NaN,
-14700,-14700,
14700,-14700,
np.NaN,np.NaN,
-14700,14700,
-14700,-14700,
np.NaN,np.NaN,
-10500,-10500,
-14700,-14700,
np.NaN,np.NaN,
10500,10500,
14700,14700,
np.NaN,np.NaN,
14700,-14700,
-10500,-10500,
np.NaN,np.NaN,
-14700,14700,
-10500,-10500,
np.NaN,np.NaN,
-10500,10500,
-14700,14700,
np.NaN,np.NaN,
14700,14700,
-10500,10500,
np.NaN,np.NaN,
14700,-14700,
10500,10500,
np.NaN,np.NaN,
10500,-10500,
14700,-14700,
np.NaN,np.NaN,
2200,7500,
10500,10500,
np.NaN,np.NaN,
-10500,10500,
2200,7500,
np.NaN,np.NaN,
-10500,-10500,
2200,7500,
np.NaN,np.NaN,
3200,7500,
10500,10500,
np.NaN,np.NaN,
10500,-10500,
3200,7500,
np.NaN,np.NaN,
2200,-7500,
10500,-10500,
np.NaN,np.NaN,
10500,-10500,
3200,-7500,
np.NaN,np.NaN,
2200,7500,
3200,-7500,
np.NaN,np.NaN,
-10500,-10500,
2200,-7500,
np.NaN,np.NaN,
